0 1 2 3 4 5 6 7 8 9 
1 2 3 4 5 6 7 8 9 10 
4 5 6 7 8 9 10 11 12 13 
9 10 11 12 13 14 15 16 17 18 
16 17 18 19 20 21 22 23 24 25 
25 26 27 28 29 30 31 32 33 34 
36 37 38 39 40 41 42 43 44 45 
49 50 51 52 53 54 55 56 57 58 
64 65 66 67 68 69 70 71 72 73 
81 82 83 84 85 86 87 88 89 90 
100 101 102 103 104 105 106 107 108 109 
121 122 123 124 125 126 127 128 129 130 
144 145 146 147 148 149 150 151 152 153 
169 170 171 172 173 174 175 176 177 178 
196 197 198 199 200 201 202 203 204 205 
225 226 227 228 229 230 231 232 233 234 
256 257 258 259 260 261 262 263 264 265 
289 290 291 292 293 294 295 296 297 298 
324 325 326 327 328 329 330 331 332 333 
361 362 363 364 365 366 367 368 369 370 
400 401 402 403 404 405 406 407 408 409 
441 442 443 444 445 446 447 448 449 450 
484 485 486 487 488 489 490 491 492 493 
529 530 531 532 533 534 535 536 537 538 
576 577 578 579 580 581 582 583 584 585 
625 626 627 628 629 630 631 632 633 634 
676 677 678 679 680 681 682 683 684 685 
729 730 731 732 733 734 735 736 737 738 
784 785 786 787 788 789 790 791 792 793 
841 842 843 844 845 846 847 848 849 850 
900 901 902 903 904 905 906 907 908 909 
961 962 963 964 965 966 967 968 969 970 
1024 1025 1026 1027 1028 1029 1030 1031 1032 1033 
1089 1090 1091 1092 1093 1094 1095 1096 1097 1098 
1156 1157 1158 1159 1160 1161 1162 1163 1164 1165 
1225 1226 1227 1228 1229 1230 1231 1232 1233 1234 
1296 1297 1298 1299 1300 1301 1302 1303 1304 1305 
1369 1370 1371 1372 1373 1374 1375 1376 1377 1378 
1444 1445 1446 1447 1448 1449 1450 1451 1452 1453 
1521 1522 1523 1524 1525 1526 1527 1528 1529 1530 
1600 1601 1602 1603 1604 1605 1606 1607 1608 1609 
1681 1682 1683 1684 1685 1686 1687 1688 1689 1690 
1764 1765 1766 1767 1768 1769 1770 1771 1772 1773 
1849 1850 1851 1852 1853 1854 1855 1856 1857 1858 
1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 
2025 2026 2027 2028 2029 2030 2031 2032 2033 2034 
2116 2117 2118 2119 2120 2121 2122 2123 2124 2125 
2209 2210 2211 2212 2213 2214 2215 2216 2217 2218 
2304 2305 2306 2307 2308 2309 2310 2311 2312 2313 
2401 2402 2403 2404 2405 2406 2407 2408 2409 2410 
2500 2501 2502 2503 2504 2505 2506 2507 2508 2509 
2601 2602 2603 2604 2605 2606 2607 2608 2609 2610 
2704 2705 2706 2707 2708 2709 2710 2711 2712 2713 
2809 2810 2811 2812 2813 2814 2815 2816 2817 2818 
2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 
3025 3026 3027 3028 3029 3030 3031 3032 3033 3034 
3136 3137 3138 3139 3140 3141 3142 3143 3144 3145 
3249 3250 3251 3252 3253 3254 3255 3256 3257 3258 
3364 3365 3366 3367 3368 3369 3370 3371 3372 3373 
3481 3482 3483 3484 3485 3486 3487 3488 3489 3490 
3600 3601 3602 3603 3604 3605 3606 3607 3608 3609 
3721 3722 3723 3724 3725 3726 3727 3728 3729 3730 
3844 3845 3846 3847 3848 3849 3850 3851 3852 3853 
3969 3970 3971 3972 3973 3974 3975 3976 3977 3978 
4096 4097 4098 4099 4100 4101 4102 4103 4104 4105 
4225 4226 4227 4228 4229 4230 4231 4232 4233 4234 
4356 4357 4358 4359 4360 4361 4362 4363 4364 4365 
4489 4490 4491 4492 4493 4494 4495 4496 4497 4498 
4624 4625 4626 4627 4628 4629 4630 4631 4632 4633 
4761 4762 4763 4764 4765 4766 4767 4768 4769 4770 
4900 4901 4902 4903 4904 4905 4906 4907 4908 4909 
5041 5042 5043 5044 5045 5046 5047 5048 5049 5050 
5184 5185 5186 5187 5188 5189 5190 5191 5192 5193 
5329 5330 5331 5332 5333 5334 5335 5336 5337 5338 
5476 5477 5478 5479 5480 5481 5482 5483 5484 5485 
5625 5626 5627 5628 5629 5630 5631 5632 5633 5634 
5776 5777 5778 5779 5780 5781 5782 5783 5784 5785 
5929 5930 5931 5932 5933 5934 5935 5936 5937 5938 
6084 6085 6086 6087 6088 6089 6090 6091 6092 6093 
6241 6242 6243 6244 6245 6246 6247 6248 6249 6250 
6400 6401 6402 6403 6404 6405 6406 6407 6408 6409 
6561 6562 6563 6564 6565 6566 6567 6568 6569 6570 
6724 6725 6726 6727 6728 6729 6730 6731 6732 6733 
6889 6890 6891 6892 6893 6894 6895 6896 6897 6898 
7056 7057 7058 7059 7060 7061 7062 7063 7064 7065 
7225 7226 7227 7228 7229 7230 7231 7232 7233 7234 
7396 7397 7398 7399 7400 7401 7402 7403 7404 7405 
7569 7570 7571 7572 7573 7574 7575 7576 7577 7578 
7744 7745 7746 7747 7748 7749 7750 7751 7752 7753 
7921 7922 7923 7924 7925 7926 7927 7928 7929 7930 
8100 8101 8102 8103 8104 8105 8106 8107 8108 8109 
8281 8282 8283 8284 8285 8286 8287 8288 8289 8290 
8464 8465 8466 8467 8468 8469 8470 8471 8472 8473 
8649 8650 8651 8652 8653 8654 8655 8656 8657 8658 
8836 8837 8838 8839 8840 8841 8842 8843 8844 8845 
9025 9026 9027 9028 9029 9030 9031 9032 9033 9034 
9216 9217 9218 9219 9220 9221 9222 9223 9224 9225 
9409 9410 9411 9412 9413 9414 9415 9416 9417 9418 
9604 9605 9606 9607 9608 9609 9610 9611 9612 9613 
9801 9802 9803 9804 9805 9806 9807 9808 9809 9810 
